-------------------------------------------------------------
|                    DescribeWorkspaces                     |
+-----------+------------+-----------------+----------------+
|  Jcast5   |  STOPPED   |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Nmontoy  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jmedici  |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Vvalenc1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Franrio  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Fhayashi |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Cospinar |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Elopezz  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Brucost  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Dvalenc3 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Abarrio1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Mtapiasb |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Kgaleano |  STOPPED   |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Dcastril |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Ywilches |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Alexigil |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Aandrade |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Decheve  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Acardon5 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Maberna2 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Bramire1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Egrajale |  STOPPED   |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Mmontoy1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Avidalar |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Acastro6 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Licorrea |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Aalvar9  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Eloperac |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Gholgui  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
+-----------+------------+-----------------+----------------+
